date,Bali vacation,Bali travel,Bali hotel
2013-12-08,1,9,57
2013-12-15,1,9,59
2013-12-22,1,10,66
2013-12-29,2,15,68
2014-01-05,2,13,72
2014-01-12,2,12,62
2014-01-19,2,11,62
2014-01-26,2,10,60
2014-02-02,1,10,57
2014-02-09,1,10,59
2014-02-16,1,11,60
2014-02-23,1,10,68
2014-03-02,1,10,62
2014-03-09,1,9,56
2014-03-16,2,10,65
2014-03-23,1,9,60
2014-03-30,1,10,56
2014-04-06,1,10,59
2014-04-13,2,10,64
2014-04-20,2,11,69
2014-04-27,1,9,63
2014-05-04,1,10,64
2014-05-11,1,11,63
2014-05-18,1,10,62
2014-05-25,1,12,66
2014-06-01,1,12,69
2014-06-08,1,11,67
2014-06-15,1,11,73
2014-06-22,2,11,64
2014-06-29,1,11,68
2014-07-06,1,11,63
2014-07-13,1,11,69
2014-07-20,1,11,77
2014-07-27,2,11,74
2014-08-03,2,12,78
2014-08-10,2,11,82
2014-08-17,2,11,81
2014-08-24,1,11,75
2014-08-31,2,11,72
2014-09-07,1,10,66
2014-09-14,2,11,65
2014-09-21,1,10,63
2014-09-28,1,9,57
2014-10-05,1,11,62
2014-10-12,2,10,61
2014-10-19,1,10,56
2014-10-26,1,11,64
2014-11-02,2,10,61
2014-11-09,1,10,60
2014-11-16,1,10,61
2014-11-23,1,9,54
2014-11-30,2,9,55
2014-12-07,1,9,55
2014-12-14,1,9,64
2014-12-21,1,10,75
2014-12-28,2,11,68
2015-01-04,2,17,64
2015-01-11,1,12,68
2015-01-18,2,11,72
2015-01-25,1,9,63
2015-02-01,1,9,57
2015-02-08,1,10,54
2015-02-15,1,10,54
2015-02-22,2,9,56
2015-03-01,1,9,59
2015-03-08,2,10,62
2015-03-15,1,10,62
2015-03-22,2,9,62
2015-03-29,1,10,63
2015-04-05,2,11,63
2015-04-12,1,10,62
2015-04-19,1,10,63
2015-04-26,1,12,62
2015-05-03,1,10,66
2015-05-10,1,11,67
2015-05-17,1,12,72
2015-05-24,1,10,65
2015-05-31,1,11,67
2015-06-07,2,10,62
2015-06-14,1,11,66
2015-06-21,2,10,64
2015-06-28,2,11,67
2015-07-05,1,15,67
2015-07-12,2,16,69
2015-07-19,1,14,67
2015-07-26,1,12,64
2015-08-02,1,14,74
2015-08-09,1,13,74
2015-08-16,2,13,65
2015-08-23,1,10,64
2015-08-30,1,10,63
2015-09-06,1,10,60
2015-09-13,1,10,60
2015-09-20,1,10,58
2015-09-27,1,9,57
2015-10-04,1,9,57
2015-10-11,1,10,62
2015-10-18,1,9,65
2015-10-25,1,9,57
2015-11-01,1,15,58
2015-11-08,1,14,55
2015-11-15,1,11,63
2015-11-22,1,11,57
2015-11-29,1,10,55
2015-12-06,1,11,61
2015-12-13,1,12,60
2015-12-20,1,11,69
2015-12-27,1,13,80
2016-01-03,2,14,75
2016-01-10,1,14,69
2016-01-17,1,13,63
2016-01-24,1,10,63
2016-01-31,1,11,63
2016-02-07,1,11,61
2016-02-14,1,11,64
2016-02-21,1,14,66
2016-02-28,2,12,68
2016-03-06,2,12,77
2016-03-13,1,11,64
2016-03-20,1,11,64
2016-03-27,1,11,63
2016-04-03,1,11,67
2016-04-10,2,11,64
2016-04-17,1,10,69
2016-04-24,1,10,68
2016-05-01,1,12,71
2016-05-08,2,12,78
2016-05-15,1,12,77
2016-05-22,1,13,77
2016-05-29,1,11,72
2016-06-05,2,12,66
2016-06-12,2,12,66
2016-06-19,2,13,65
2016-06-26,1,12,67
2016-07-03,1,12,74
2016-07-10,1,12,73
2016-07-17,2,12,77
2016-07-24,1,12,76
2016-07-31,2,14,72
2016-08-07,1,11,69
2016-08-14,1,11,63
2016-08-21,1,11,61
2016-08-28,1,12,66
2016-09-04,2,12,63
2016-09-11,1,11,60
2016-09-18,1,10,62
2016-09-25,2,11,58
2016-10-02,1,10,57
2016-10-09,1,10,63
2016-10-16,2,10,64
2016-10-23,2,9,57
2016-10-30,2,11,60
2016-11-06,1,10,59
2016-11-13,2,11,56
2016-11-20,1,10,57
2016-11-27,1,10,57
2016-12-04,1,9,58
2016-12-11,1,10,54
2016-12-18,1,12,59
2016-12-25,2,13,78
2017-01-01,2,16,74
2017-01-08,2,16,73
2017-01-15,2,13,75
2017-01-22,2,13,65
2017-01-29,2,12,67
2017-02-05,1,13,67
2017-02-12,2,12,60
2017-02-19,2,12,65
2017-02-26,2,12,79
2017-03-05,2,12,75
2017-03-12,2,12,67
2017-03-19,2,13,69
2017-03-26,2,11,60
2017-04-02,2,11,64
2017-04-09,2,12,69
2017-04-16,2,12,77
2017-04-23,2,13,69
2017-04-30,2,12,69
2017-05-07,2,12,69
2017-05-14,2,12,66
2017-05-21,2,13,63
2017-05-28,2,13,61
2017-06-04,2,13,65
2017-06-11,2,12,72
2017-06-18,2,13,75
2017-06-25,2,12,83
2017-07-02,2,14,82
2017-07-09,2,13,82
2017-07-16,2,13,76
2017-07-23,2,12,74
2017-07-30,2,13,74
2017-08-06,2,12,74
2017-08-13,2,13,73
2017-08-20,2,13,71
2017-08-27,2,12,65
2017-09-03,2,12,68
2017-09-10,2,13,67
2017-09-17,2,21,67
2017-09-24,2,29,60
2017-10-01,2,16,51
2017-10-08,2,14,55
2017-10-15,2,12,50
2017-10-22,2,12,55
2017-10-29,2,12,56
2017-11-05,2,12,58
2017-11-12,2,12,65
2017-11-19,2,14,63
2017-11-26,2,31,56
2017-12-03,2,15,48
2017-12-10,2,13,73
2017-12-17,2,13,89
2017-12-24,2,14,100
2017-12-31,2,18,79
2018-01-07,2,17,75
2018-01-14,3,16,75
2018-01-21,2,14,69
2018-01-28,2,14,70
2018-02-04,2,14,71
2018-02-11,2,13,70
2018-02-18,2,13,80
2018-02-25,2,12,79
2018-03-04,2,13,77
2018-03-11,2,13,72
2018-03-18,2,14,74
2018-03-25,2,14,76
2018-04-01,2,14,75
2018-04-08,2,14,74
2018-04-15,2,13,77
2018-04-22,2,13,73
2018-04-29,2,13,76
2018-05-06,2,13,69
2018-05-13,2,17,62
2018-05-20,2,15,65
2018-05-27,2,13,67
2018-06-03,2,14,67
2018-06-10,2,14,77
2018-06-17,2,14,75
2018-06-24,2,18,73
2018-07-01,2,17,74
2018-07-08,2,15,73
2018-07-15,2,14,74
2018-07-22,2,14,74
2018-07-29,2,15,75
2018-08-05,2,35,74
2018-08-12,2,15,67
2018-08-19,2,16,58
2018-08-26,2,12,56
2018-09-02,2,12,61
2018-09-09,2,12,61
2018-09-16,2,12,62
2018-09-23,2,12,61
2018-09-30,1,15,58
2018-10-07,2,12,60
2018-10-14,2,11,55
2018-10-21,2,11,57
2018-10-28,2,11,53
2018-11-04,2,12,54
2018-11-11,2,11,59
2018-11-18,2,11,50
2018-11-25,2,11,56
2018-12-02,2,11,58
2018-12-09,1,11,57
2018-12-16,2,12,60
2018-12-23,2,18,62
2018-12-30,2,15,64
2019-01-06,3,18,76
2019-01-13,3,16,74
2019-01-20,2,14,72
2019-01-27,2,13,68
2019-02-03,2,13,70
2019-02-10,2,13,68
2019-02-17,2,14,69
2019-02-24,3,14,70
2019-03-03,2,14,63
2019-03-10,3,14,69
2019-03-17,2,15,70
2019-03-24,3,15,73
2019-03-31,3,14,70
2019-04-07,4,15,71
2019-04-14,2,14,69
2019-04-21,3,17,73
2019-04-28,3,16,69
2019-05-05,3,14,71
2019-05-12,3,15,67
2019-05-19,3,18,72
2019-05-26,3,17,81
2019-06-02,3,16,84
2019-06-09,3,17,85
2019-06-16,3,17,80
2019-06-23,3,17,84
2019-06-30,3,17,87
2019-07-07,3,16,84
2019-07-14,3,18,81
2019-07-21,3,15,84
2019-07-28,3,15,96
2019-08-04,2,15,82
2019-08-11,3,16,80
2019-08-18,3,15,82
2019-08-25,3,15,76
2019-09-01,3,15,79
2019-09-08,3,14,77
2019-09-15,2,16,74
2019-09-22,3,16,71
2019-09-29,3,15,76
2019-10-06,3,15,72
2019-10-13,2,14,72
2019-10-20,3,14,68
2019-10-27,3,12,69
2019-11-03,3,14,72
2019-11-10,3,14,70
2019-11-17,3,15,70
2019-11-24,3,13,69
2019-12-01,3,15,68
2019-12-08,2,13,70
2019-12-15,3,15,81
2019-12-22,3,17,95
