date,avg_tone,article_count,risk_article_count,crime_count
2023-10-01,-0.1313525390654936,1119,16,32
2023-11-01,-0.5595796836904369,887,0,29
2023-12-01,0.1075101202137755,710,0,18
2024-01-01,-3.2011769259113145,1156,6,133
2024-02-01,0.7885399669499328,855,7,25
2024-03-01,-0.5434300351766354,739,9,39
2024-04-01,-0.0484140703248613,835,31,28
2024-05-01,0.0248154264674568,2182,35,106
2024-06-01,-1.2874771212424192,1027,34,32
2024-07-01,-0.706711427879896,936,7,59
2024-08-01,0.7809354664244943,865,13,27
2024-09-01,-0.019955061110071,1483,22,65
2024-10-01,-0.4327081783212349,903,8,87
2024-11-01,-1.129943690365895,1047,10,29
2024-12-01,-0.7861481883520587,1422,19,71
2025-01-01,0.0513043909585475,1041,41,24
2025-02-01,-2.4388652654535896,798,10,39
2025-03-01,-1.620327343840811,682,16,52
2025-04-01,-0.4771078693014818,455,12,18
2025-05-01,-3.00983182241292,934,30,42
2025-06-01,-4.143682925503656,664,2,20
2025-07-01,-2.372240423498247,1303,15,78
2025-08-01,-3.051499965571441,810,8,41
2025-09-01,-2.914950947063683,1465,27,48
2025-10-01,-2.8757832960592964,1101,13,91
2025-11-01,-2.412978481079914,883,20,49
2025-12-01,-4.279104346242413,1306,2,126
