date,gdelt_crisis_score,avg_tone,risk_ratio,trend_composite,trend_risk_score,trend_drop_flag,economic_index,economic_risk_score,eq_count,eq_max_magnitude,eq_seismic_energy,eq_risk_score,wx_precip_sum,wx_humidity_mean,bmkg_max_magnitude_30d,bmkg_seismic_energy,earthquake_count,earthquake_count_m5_plus,pvmbg_volcano_status,volcano_status_agung,volcano_status_batur,bmkg_extreme_weather_days,weather_max_rain,weather_max_wind_speed,weather_max_wind_gust,weather_max_temperature,eq_count_log,eq_m5plus_log,rain_log,disaster_risk_score
2011-11-01,0.04887674901080395,5.681033191224366,0.005962059620596206,23.532608695652176,0.5636228010194566,0,4.0725022707905225,0.20244843259265966,10,5.8,597692350.507469,0.028471323118467,266.9,90.0,5.8,501187233.6272715,10,3,0,0,0,2,39.8,13.9,32.4,29.6,2.3978952727983707,1.3862943611198906,3.708682081410116,0.04977999072720643
2011-12-01,0.01872868984926276,5.812053429217371,0.0,24.32608695652174,0.5409336731522348,0,4.0725022707905225,0.20244843259265966,4,4.7,30059044.652911678,0.007164825854094004,320.2,90.93548387096774,4.7,11220184.543019652,4,0,0,0,0,4,33.4,17.4,39.2,30.0,1.6094379124341003,0.0,3.5380565643793527,0.06744011757265593
2012-01-01,0.06742019635127335,4.72391112167951,0.0,26.565217391304348,0.47690681917075906,0,4.084882484206712,0.2009354752474195,6,5.7,421057752.88355756,0.01703009056733794,583.6,92.12903225806451,5.7,354813389.23357606,6,2,0,0,0,12,63.2,23.4,48.6,29.3,1.9459101490553132,1.0986122886681096,4.162003210695915,0.16449626317067978
2012-02-01,0.12158391985978546,3.846916196661153,0.003663003663003663,26.347826086956523,0.48312301858643625,0,4.084882484206712,0.2009354752474195,4,4.8,32234010.455021854,0.007194607890034152,317.4,90.51724137931035,4.8,15848931.924611108,4,0,0,0,0,3,30.3,16.6,37.8,29.3,1.6094379124341003,0.0,3.4436180975461075,0.0557556158941209
2012-03-01,0.11830928740432642,3.7017385232467928,0.0012642225031605564,26.217391304347824,0.48685273823584274,0,4.084882484206712,0.2009354752474195,6,4.8,40681315.09139153,0.011821555918139855,472.6,91.87096774193549,4.8,15848931.924611108,6,0,0,0,0,7,74.0,22.7,55.8,28.9,1.9459101490553132,0.0,4.31748811353631,0.14663648109867222
2012-04-01,0.0946905379413408,5.285808389291224,0.012867647058823529,25.791304347826088,0.4990364890905701,0,4.084882484206712,0.2009354752474195,7,4.9,42022909.45461702,0.014095565608885684,118.7,88.53333333333333,4.9,22387211.385683425,7,0,0,0,0,0,13.9,17.7,35.3,29.0,2.0794415416798357,0.0,2.7013612129514133,0.01884094834160959
2012-05-01,0.042067153193041176,5.290492870062394,0.0,28.17391304347826,0.43090694349474734,0,4.084882484206712,0.2009354752474195,3,4.7,20824669.50045812,0.004782739484209385,111.60000000000001,88.48387096774194,4.7,11220184.543019652,3,0,0,0,0,0,17.8,22.0,42.5,28.5,1.3862943611198906,0.0,2.9338568698359033,0.03447118425997967
2012-06-01,0.1732954304723321,5.472898299894683,0.034220532319391636,27.206521739130434,0.4585690308945112,0,4.084882484206712,0.2009354752474195,7,4.8,49764588.723318584,0.014201573238979855,24.3,85.03333333333333,4.8,15848931.924611108,7,0,0,0,0,0,7.2,20.7,41.4,28.5,2.0794415416798357,0.0,2.1041341542702074,0.025237624148338005
2012-07-01,0.05238297386333747,5.626057557033729,0.006218905472636816,28.617391304347827,0.4182258966867657,0,4.084882484206712,0.2009354752474195,7,4.7,23838022.11108353,0.013846558030050556,44.5,84.83870967741936,4.7,11220184.543019652,7,0,0,0,0,0,11.5,21.7,45.7,27.4,2.0794415416798357,0.0,2.5257286443082556,0.0359443700579899
2012-08-01,0.09775321356654267,5.860565639170163,0.019933554817275746,31.434782608695652,0.33766395225958856,0,4.084882484206712,0.2009354752474195,9,5.3,129755510.49197513,0.01980817555620344,10.3,80.16129032258064,5.3,89125093.8133744,9,1,0,0,0,0,2.7,21.5,43.2,28.5,2.302585092994046,0.6931471805599453,1.308332819650179,0.026065645122719396
2012-09-01,0.17681034146828278,5.699451346823854,0.03757225433526012,29.869565217391305,0.3824205880524647,0,4.084882484206712,0.2009354752474195,74,6.1,2860389861.560014,0.20381558085053242,16.7,78.63333333333334,6.1,1412537544.6227496,74,10,0,0,0,0,2.6,20.7,42.1,30.7,4.31748811353631,2.3978952727983707,1.2809338454620645,0.03585426926893371
2012-10-01,0.05067708158920836,5.452278508561923,0.0038910505836575876,27.119565217391305,0.461055510660782,0,4.084882484206712,0.2009354752474195,17,4.8,80834898.52311678,0.037183413242900726,39.2,78.64516129032258,4.8,15848931.924611108,17,0,0,0,0,0,3.4,17.1,38.5,31.5,2.8903717578961645,0.0,1.4816045409242156,0.01737063767000744
2012-11-01,0.1546033762498767,2.916335286226356,0.0015463917525773195,23.467391304347824,0.5654876608441599,0,4.084882484206712,0.2009354752474195,12,5.4,298634405.3546562,0.028887569354332884,146.7,86.23333333333333,5.4,125892541.17941713,12,3,0,0,0,0,15.3,14.8,33.1,30.7,2.5649493574615367,1.3862943611198906,2.791165107812717,0.016741580503848903
2012-12-01,0.1923341642152226,2.40577723053051,0.005200594353640416,26.026086956521734,0.4923229937216388,0,4.084882484206712,0.2009354752474195,7,4.5,20468271.60963195,0.013800415681308248,506.2,91.7741935483871,4.5,5623413.251903491,7,0,0,0,0,10,42.0,14.5,34.6,29.4,2.0794415416798357,0.0,3.7612001156935624,0.10731184021127743
2013-01-01,0.22174935614665212,2.321319919109362,0.011494252873563218,28.597826086956523,0.41878535463417665,0,3.8611577133423074,0.22827636380987504,6,4.6,33932845.83509202,0.01172914841741635,397.0,91.6774193548387,4.6,7943282.347242805,6,0,0,0,0,8,49.7,28.3,63.0,29.2,1.9459101490553132,0.0,3.9259259105971376,0.14998439728718588
2013-02-01,0.1410010743982419,3.079549051563973,0.0,28.57608695652174,0.4194069745757445,0,3.8611577133423074,0.22827636380987504,7,4.8,49781777.75970313,0.01420180861026656,264.0,89.60714285714286,4.8,15848931.924611108,7,0,0,0,0,3,25.9,21.8,62.6,29.6,2.0794415416798357,0.0,3.292126286607793,0.09768797468960458
2013-03-01,0.16526754147893308,2.7775897687282907,0.0026402640264026403,31.234782608695657,0.34338285572201155,0,3.8611577133423074,0.22827636380987504,10,5.1,92217602.19905555,0.021549804119707194,281.8,90.2258064516129,5.1,44668359.21509626,10,1,0,0,0,3,22.1,23.1,45.0,28.9,2.3978952727983707,0.6931471805599453,3.139832617527748,0.06343254295352323
2013-04-01,0.1908376214252218,2.426722949159481,0.005063291139240506,31.08695652173913,0.34760987132467225,0,3.8611577133423074,0.22827636380987504,5,4.6,25989563.487849213,0.009364741117377125,229.7,89.73333333333333,4.6,7943282.347242805,5,0,0,0,0,2,22.8,15.4,33.5,29.3,1.791759469228055,0.0,3.169685580677429,0.03567974605791871
2013-05-01,0.21080001341512328,1.9013765791189423,0.0041928721174004195,31.597826086956523,0.33300180269783053,0,3.8611577133423074,0.22827636380987504,14,4.6,58725656.99445653,0.030113751775401952,295.0,90.61290322580645,4.6,7943282.347242805,14,0,0,0,0,5,32.8,15.0,32.4,29.4,2.70805020110221,0.0,3.520460802488973,0.061731177087618605
2013-06-01,0.16989012757870872,2.433945675355453,0.0,33.36521739130435,0.2824641014483744,0,3.8611577133423074,0.22827636380987504,13,5.1,142956505.94281906,0.029011494569094905,311.4,91.83333333333333,5.1,44668359.21509626,13,2,0,0,0,3,49.6,14.0,31.3,28.5,2.639057329615259,1.0986122886681096,3.92395157629342,0.057488230995345474
2013-07-01,0.17301383874218293,2.455075811843859,0.000999000999000999,34.09782608695652,0.2615155094175421,0,3.8611577133423074,0.22827636380987504,8,5.7,409634051.6130954,0.021384942817427276,82.4,87.87096774193549,5.7,354813389.23357606,8,2,0,0,0,0,8.8,21.2,41.4,27.7,2.1972245773362196,1.0986122886681096,2.2823823856765264,0.02937210659018925
2013-08-01,0.15478737450707591,2.8226257090690314,0.0005621135469364812,35.59782608695652,0.21862373344936903,0,3.8611577133423074,0.22827636380987504,9,5.3,205497630.9148153,0.020845320393344094,19.3,82.2258064516129,5.3,89125093.8133744,9,3,0,0,0,0,4.4,21.4,42.5,29.3,2.302585092994046,1.3862943611198906,1.6863989535702286,0.025964479032209463
2013-09-01,0.2659244075214836,2.9394086571582085,0.02912932138284251,31.486956521739128,0.33617206439982616,0,3.8611577133423074,0.22827636380987504,8,5.2,117335874.88381729,0.017382473079215678,32.4,78.93333333333334,5.2,63095734.44801943,8,1,0,0,0,0,9.3,21.2,42.5,29.9,2.1972245773362196,0.6931471805599453,2.33214389523559,0.029097153796963274
2013-10-01,0.17816831673755004,2.623685460317872,0.004116699480937892,32.5,0.3072045751227699,0,3.8611577133423074,0.22827636380987504,10,5.1,119303402.28344747,0.0219206928347382,33.8,76.87096774193549,5.1,44668359.21509626,10,1,0,0,0,0,7.8,18.4,41.8,31.8,2.3978952727983707,0.6931471805599453,2.174751721484161,0.026632915187769966
2013-11-01,0.16175084650949084,2.730726714166764,0.0012620950778291964,30.98913043478261,0.35040716106172687,0,3.8611577133423074,0.22827636380987504,8,4.6,34703041.833346255,0.01625097298787736,288.7,87.16666666666667,4.6,7943282.347242805,8,0,0,0,0,5,45.2,16.1,41.4,31.4,2.1972245773362196,0.0,3.832979798087693,0.08656283498367522
2013-12-01,0.16070400601273774,3.223376092763259,0.006417112299465241,34.8,0.24143718530490466,0,3.8611577133423074,0.22827636380987504,8,4.5,24625384.700062864,0.016112978566703132,555.1,90.74193548387096,4.7,11220184.543019652,9,0,0,0,0,7,120.3,18.8,38.9,29.4,2.302585092994046,0.0,4.798266815950004,0.14776368019782288
2014-01-01,0.21082269536812093,2.3630985751173017,0.009270704573547589,28.91304347826087,0.40977186548144473,0,4.107968626496641,0.19811417101165174,3,4.6,11933806.97718057,0.004660995966701998,350.8,90.93548387096774,4.6,7943282.347242805,3,0,0,0,0,6,36.9,25.2,53.3,28.8,1.3862943611198906,0.0,3.6349511120883804,0.10949145343126349
2014-02-01,0.19561676029081063,2.418577260328963,0.006147091108671789,25.815217391304348,0.4983527071548456,0,4.107968626496641,0.19811417101165174,8,5.0,55315276.529221885,0.01653321848981755,309.9,90.46428571428571,5.0,31622776.60168379,8,1,0,0,0,5,24.9,19.2,47.5,29.2,2.1972245773362196,0.6931471805599453,3.254242968705492,0.08388838484582052
2014-03-01,0.18674456602017328,2.05728804334744,0.0,25.26086956521739,0.5142040156648225,0,4.107968626496641,0.19811417101165174,20,5.3,235393845.80457643,0.046066722489672536,209.7,87.7741935483871,5.3,89125093.8133744,20,3,0,0,0,2,55.1,13.8,42.5,29.3,3.044522437723423,1.3862943611198906,4.027135812528651,0.07490754108817095
2014-04-01,0.22800586040047466,1.5447062530647957,0.004498714652956298,28.76086956521739,0.41412320507241873,0,4.107968626496641,0.19811417101165174,12,5.0,75825003.73544036,0.025836616736876414,174.5,89.2,5.0,31622776.60168379,12,1,0,0,0,1,24.7,13.5,31.0,29.5,2.5649493574615367,0.6931471805599453,3.246490991901174,0.02560634680635324
2014-05-01,0.22231335077950504,1.9473031984348483,0.007523939808481532,30.5,0.36439360974700064,0,4.107968626496641,0.19811417101165174,10,5.2,142629643.86831713,0.022240101519028846,41.1,86.38709677419355,5.2,63095734.44801943,10,2,0,0,0,0,9.4,18.3,36.4,29.3,2.3978952727983707,1.0986122886681096,2.341805806147327,0.01810844116572837
