Date,Price,Open,High,Low,Change %
2/12/2016,"13,490.00","13,455.00","13,525.00","13,424.00",0.20%
2/11/2016,"13,462.50","13,372.50","13,462.50","13,327.50",0.00%
2/10/2016,"13,462.50","13,582.50","13,602.50","13,402.50",-1.05%
2/9/2016,"13,605.00","13,663.00","13,713.00","13,603.00",-0.15%
2/8/2016,"13,625.00","13,625.00","13,625.00","13,625.00",0.00%
2/5/2016,"13,625.00","13,625.00","13,670.00","13,595.00",-0.09%
2/4/2016,"13,637.50","13,672.50","13,682.50","13,632.50",-0.93%
2/3/2016,"13,765.00","13,715.00","13,835.00","13,695.00",0.57%
2/2/2016,"13,687.50","13,622.50","13,702.50","13,607.50",0.37%
2/1/2016,"13,637.50","13,752.50","13,777.50","13,572.50",-1.00%
1/29/2016,"13,775.00","13,805.00","13,855.00","13,755.00",-0.72%
1/28/2016,"13,874.50","13,889.50","13,909.50","13,864.50",-0.03%
1/27/2016,"13,878.50","13,851.50","13,891.50","13,846.50",-0.15%
1/26/2016,"13,900.00","13,880.00","13,925.00","13,880.00",0.20%
1/25/2016,"13,872.50","13,812.50","13,872.50","13,812.50",0.16%
1/22/2016,"13,850.00","13,855.00","13,888.00","13,844.00",-0.43%
1/21/2016,"13,910.00","13,908.00","13,928.00","13,863.00",-0.36%
1/20/2016,"13,960.00","13,870.00","13,960.00","13,870.00",0.58%
1/19/2016,"13,880.00","13,905.00","13,927.00","13,845.00",-0.38%
1/18/2016,"13,932.50","13,902.50","13,952.50","13,902.50",0.27%
1/15/2016,"13,894.50","13,814.50","13,914.50","13,814.50",-0.11%
1/14/2016,"13,910.00","13,835.00","13,965.00","13,815.00",0.60%
1/13/2016,"13,827.50","13,862.50","13,882.50","13,827.50",-0.59%
1/12/2016,"13,910.00","13,855.00","13,910.00","13,810.00",0.25%
1/11/2016,"13,875.00","13,915.00","13,955.00","13,870.00",-0.34%
1/8/2016,"13,922.50","13,907.50","13,922.50","13,852.50",-0.04%
1/7/2016,"13,927.50","13,922.50","13,977.50","13,862.50",-0.14%
1/6/2016,"13,947.50","13,817.50","13,947.50","13,802.50",0.61%
1/5/2016,"13,862.50","13,947.50","13,962.50","13,787.50",-0.38%
1/4/2016,"13,915.00","13,805.00","13,920.00","13,805.00",0.92%
1/1/2016,"13,787.50","13,787.50","13,787.50","13,787.50",0.00%
12/31/2015,"13,787.50","13,772.50","13,817.50","13,772.50",0.04%
12/30/2015,"13,782.50","13,722.50","13,822.50","13,722.50",0.27%
12/29/2015,"13,745.00","13,635.00","13,753.00","13,635.00",0.70%
12/28/2015,"13,650.00","13,605.00","13,665.00","13,605.00",0.05%
12/25/2015,"13,642.50","13,642.50","13,642.50","13,642.50",0.00%
12/24/2015,"13,642.50","13,642.50","13,642.50","13,642.50",0.00%
12/23/2015,"13,642.50","13,602.50","13,672.50","13,602.50",-0.24%
12/22/2015,"13,675.00","13,635.00","13,695.00","13,535.00",-0.71%
12/21/2015,"13,772.50","13,862.50","13,922.50","13,732.50",-1.04%
12/18/2015,"13,917.50","14,007.50","14,036.50","13,902.50",-0.64%
12/17/2015,"14,006.50","14,011.50","14,056.50","14,001.50",-0.45%
12/16/2015,"14,069.50","14,034.50","14,074.50","14,033.50",0.09%
12/15/2015,"14,056.50","14,051.50","14,073.50","14,026.50",-0.15%
12/14/2015,"14,077.50","14,022.50","14,092.50","14,002.50",0.93%
12/11/2015,"13,947.50","13,912.50","13,950.50","13,902.50",0.09%
12/10/2015,"13,935.00","13,930.00","13,979.00","13,845.00",0.45%
12/9/2015,"13,872.50","13,872.50","13,872.50","13,872.50",0.00%
12/8/2015,"13,872.50","13,842.50","13,875.50","13,837.50",0.22%
12/7/2015,"13,842.50","13,802.50","13,852.50","13,802.50",0.08%
12/4/2015,"13,832.00","13,832.00","13,842.00","13,821.00",-0.08%
12/3/2015,"13,843.50","13,801.50","13,851.50","13,801.50",0.33%
12/2/2015,"13,797.50","13,752.50","13,805.50","13,737.50",0.11%
12/1/2015,"13,782.50","13,827.50","13,837.50","13,781.50",-0.38%
11/30/2015,"13,835.00","13,780.00","13,850.00","13,780.00",0.40%
11/27/2015,"13,780.00","13,735.00","13,780.00","13,735.00",0.38%
11/26/2015,"13,728.50","13,708.50","13,738.50","13,708.50",0.30%
11/25/2015,"13,687.50","13,652.50","13,707.50","13,642.50",-0.15%
11/24/2015,"13,707.50","13,677.50","13,732.50","13,677.50",-0.11%
11/23/2015,"13,723.00","13,647.00","13,723.00","13,647.00",0.50%
11/20/2015,"13,655.00","13,705.00","13,745.00","13,605.00",-0.89%
11/19/2015,"13,777.50","13,752.50","13,797.50","13,727.50",-0.16%
11/18/2015,"13,799.50","13,710.50","13,800.50","13,670.50",0.38%
11/17/2015,"13,747.50","13,682.50","13,747.50","13,682.50",0.15%
11/16/2015,"13,727.50","13,692.50","13,742.50","13,662.50",0.46%
11/13/2015,"13,665.00","13,595.00","13,688.00","13,595.00",0.46%
11/12/2015,"13,602.50","13,602.50","13,632.50","13,552.50",0.00%
11/11/2015,"13,602.50","13,532.50","13,607.50","13,532.50",-0.05%
11/10/2015,"13,609.50","13,627.50","13,642.50","13,592.50",-0.28%
11/9/2015,"13,647.50","13,662.50","13,703.50","13,627.50",0.65%
11/6/2015,"13,560.00","13,555.00","13,565.00","13,525.00",-0.04%
11/5/2015,"13,565.00","13,545.00","13,645.00","13,545.00",0.07%
11/4/2015,"13,555.00","13,465.00","13,555.00","13,425.00",0.00%
11/3/2015,"13,555.00","13,580.00","13,615.00","13,535.00",-0.82%
11/2/2015,"13,667.50","13,652.50","13,687.50","13,632.50",-0.15%
10/30/2015,"13,687.50","13,562.50","13,707.50","13,562.50",0.39%
10/29/2015,"13,635.00","13,560.00","13,650.00","13,515.00",1.17%
10/28/2015,"13,477.50","13,627.50","13,640.50","13,472.50",-1.06%
10/27/2015,"13,622.50","13,647.50","13,647.50","13,572.50",-0.16%
10/26/2015,"13,645.00","13,605.00","13,680.00","13,545.00",0.07%
10/23/2015,"13,635.00","13,555.00","13,650.00","13,405.00",-0.16%
10/22/2015,"13,657.50","13,727.50","13,732.50","13,482.50",-0.43%
10/21/2015,"13,717.00","13,680.00","13,750.00","13,665.00",0.53%
10/20/2015,"13,645.00","13,585.00","13,655.00","13,585.00",0.84%
10/19/2015,"13,531.50","13,501.50","13,571.50","13,501.50",0.01%
10/16/2015,"13,530.00","13,480.00","13,580.00","13,450.00",0.56%
10/15/2015,"13,455.00","13,515.00","13,515.00","13,215.00",-1.21%
10/14/2015,"13,619.50","13,619.50","13,619.50","13,619.50",0.00%
10/13/2015,"13,619.50","13,435.50","13,630.50","13,435.50",1.60%
10/12/2015,"13,405.00","13,305.00","13,485.00","13,305.00",-0.11%
